Page URL,Action,Expected,Actual,Passed
http://localhost:5173//accounting/chart-of-accounts,Index,page loads,error panel: 404,✗
http://localhost:5173//accounting/cost-centers,Index,page loads,error panel: 404,✗
http://localhost:5173//accounting/dashboard,Index,page loads,error panel: 404,✗
http://localhost:5173//accounting/fiscal-years,Index,page loads,error panel: 404,✗
http://localhost:5173//accounting/journal-entries,Index,page loads,error panel: 404,✗
http://localhost:5173//accounting/reports/account-statement,Index,page loads,error panel: 404,✗
http://localhost:5173//accounting/reports/aging,Index,page loads,error panel: 404,✗
http://localhost:5173//accounting/reports/balance-sheet,Index,page loads,error panel: 404,✗
http://localhost:5173//accounting/reports/cash-flow,Index,page loads,error panel: 404,✗
http://localhost:5173//accounting/reports/general-ledger,Index,page loads,error panel: 404,✗
http://localhost:5173//accounting/reports/income-statement,Index,page loads,error panel: 404,✗
http://localhost:5173//accounting/reports/trial-balance,Index,page loads,error panel: 404,✗
http://localhost:5173//construction,Index,page loads,error panel: 404,✗
http://localhost:5173//construction/billings,Index,page loads,error panel: 404,✗
http://localhost:5173//construction/boq,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173//construction/budgets,Index,page loads,error panel: 404,✗
http://localhost:5173//construction/contracts,Index,page loads,error panel: 404,✗
http://localhost:5173//construction/equipment,Index,page loads,error panel: 404,✗
http://localhost:5173//construction/expenses,Index,page loads,error panel: 404,✗
http://localhost:5173//construction/labor,Index,page loads,error panel: 404,✗
http://localhost:5173//construction/materials,Index,page loads,error panel: 404,✗
http://localhost:5173//construction/projects,Index,page loads,error panel: 404,✗
http://localhost:5173//construction/reports,Index,page loads,error panel: 404,✗
http://localhost:5173//construction/subcontractors,Index,page loads,error panel: 404,✗
http://localhost:5173//construction/variations,Index,page loads,error panel: 404,✗
http://localhost:5173//crm,Index,page loads,error panel: 404,✗
http://localhost:5173//crm/activities,Index,page loads,error panel: 404,✗
http://localhost:5173//crm/leads,Index,page loads,error panel: 404,✗
http://localhost:5173//crm/opportunities,Index,page loads,error panel: 404,✗
http://localhost:5173//crm/pipeline,Index,page loads,error panel: 404,✗
http://localhost:5173//crm/reports/leads,Index,page loads,error panel: 404,✗
http://localhost:5173//crm/reports/opportunities,Index,page loads,error panel: 404,✗
http://localhost:5173//crm/reports/team-performance,Index,page loads,error panel: 404,✗
http://localhost:5173//crm/setup,Index,page loads,error panel: 404,✗
http://localhost:5173//customer-categories,Index,page loads,error panel: 404,✗
http://localhost:5173//customers,Index,page loads,error panel: 404,✗
http://localhost:5173//dashboard,Index,page loads,error panel: 404,✗
http://localhost:5173//ecommerce,Index,page loads,error panel: 404,✗
http://localhost:5173//ecommerce/banners,Index,page loads,error panel: 404,✗
http://localhost:5173//ecommerce/categories,Index,page loads,error panel: 404,✗
http://localhost:5173//ecommerce/coupons,Index,page loads,error panel: 404,✗
http://localhost:5173//ecommerce/customers,Index,page loads,error panel: 404,✗
http://localhost:5173//ecommerce/orders,Index,page loads,error panel: 404,✗
http://localhost:5173//ecommerce/pages,Index,page loads,error panel: 404,✗
http://localhost:5173//ecommerce/products,Index,page loads,error panel: 404,✗
http://localhost:5173//ecommerce/returns,Index,page loads,error panel: 404,✗
http://localhost:5173//ecommerce/shipping,Index,page loads,error panel: 404,✗
http://localhost:5173//ecommerce/stores,Index,page loads,error panel: 404,✗
http://localhost:5173//financial/checks,Index,page loads,error panel: 404,✗
http://localhost:5173//financial/credit-notes,Index,page loads,error panel: 404,✗
http://localhost:5173//financial/debit-notes,Index,page loads,error panel: 404,✗
http://localhost:5173//financial/payment-vouchers,Index,page loads,error panel: 404,✗
http://localhost:5173//financial/receipt-vouchers,Index,page loads,error panel: 404,✗
http://localhost:5173//financial/reports/bank-statement,Index,page loads,error panel: 404,✗
http://localhost:5173//financial/reports/cash-flow,Index,page loads,error panel: 404,✗
http://localhost:5173//financial/reports/checks,Index,page loads,error panel: 404,✗
http://localhost:5173//financial/reports/vouchers,Index,page loads,error panel: 404,✗
http://localhost:5173//fixed-assets/assets,Index,page loads,error panel: 404,✗
http://localhost:5173//fixed-assets/categories,Index,page loads,error panel: 404,✗
http://localhost:5173//fixed-assets/dashboard,Index,page loads,error panel: 404,✗
http://localhost:5173//fixed-assets/reports/depreciation,Index,page loads,error panel: 404,✗
http://localhost:5173//fixed-assets/reports/register,Index,page loads,error panel: 404,✗
http://localhost:5173//fleet/accidents,Index,page loads,error panel: 404,✗
http://localhost:5173//fleet/billing,Index,page loads,error panel: 404,✗
http://localhost:5173//fleet/contracts,Index,page loads,error panel: 404,✗
http://localhost:5173//fleet/dashboard,Index,page loads,error panel: 404,✗
http://localhost:5173//fleet/drivers,Index,page loads,error panel: 404,✗
http://localhost:5173//fleet/fuel,Index,page loads,error panel: 404,✗
http://localhost:5173//fleet/maintenance/requests,Index,page loads,error panel: 404,✗
http://localhost:5173//fleet/routes,Index,page loads,error panel: 404,✗
http://localhost:5173//fleet/setup,Index,page loads,error panel: 404,✗
